filename;prompt
mortgage-life-insurance-family-relaxing-new-home-banner;A bright, airy living room with a happy family relaxing on the sofa, with moving boxes in the corner, conveying the joy and security of a new family home.
mortgage-life-insurance-hand-key-security-featured;A close-up shot of a person's hand inserting a key into the lock of a front door, symbolising homeownership and security.
mortgage-life-insurance-house-shield-protection-midcon;A simple graphic showing a house icon with a shield over it, representing protection for the family home.
over-50s-life-insurance-pier-lake-reflection-banner;A tranquil image of a wooden pier stretching out onto a calm British lake at dawn, conveying peace and reflection.
over-50s-life-insurance-older-legacy-care-featured;A close-up of an older person's hands carefully writing a birthday card for a grandchild, symbolising leaving a legacy of love and care.
over-50s-life-insurance-piggy-bank-gift-costs-midcon;A simple graphic of a piggy bank with a graduation cap on, with a plus sign next to a funeral wreath icon, illustrating the dual purpose of leaving a gift or covering costs.
personal-accident-insurance-hiking-active-protected-banner;A dynamic shot of a person hiking up a scenic British mountain, looking capable and prepared, conveying an active and protected lifestyle.
personal-accident-insurance-hands-plaster-recovery-featured;A close-up of a person's hands carefully applying a plaster to their child's grazed knee, symbolising care and recovery from minor accidents.
personal-accident-insurance-shield-deflecting-accidents-midcon;A simple graphic showing a shield icon deflecting symbols for a car crash, a fall, and a broken bone, clearly illustrating the policy's purpose.
relevant-life-insurance-director-professional-responsibility-banner;A confident and professional-looking company director sitting in a modern office, looking thoughtfully out of a window, conveying a sense of responsibility and foresight.
relevant-life-insurance-calculator-tax-efficient-planning-featured;A close-up of a business owner's hands using a calculator, with company accounts in the background, symbolising smart, tax-efficient financial planning.
relevant-life-insurance-money-tax-efficient-family-midcon;A simple, clear graphic showing money flowing from a 'Limited Company' icon, through a 'Tax-Efficient Policy' icon, to a protected 'Family' icon.
terminal-illness-benefit-hands-compassion-support-banner;A serene and poignant image of a person's hand gently holding the hand of an older family member, with soft, warm light, conveying compassion and support.
terminal-illness-benefit-person-calm-organising-featured;A person sitting in a comfortable armchair by a window, looking out at a peaceful garden, organising documents with a calm expression, symbolising getting affairs in order.
terminal-illness-benefit-policy-key-unlocking-midcon;A simple graphic showing a life insurance policy document transforming into a key, unlocking a house, symbolising the ability to clear a mortgage early.
whole-life-insurance-family-tree-legacy-heritage-banner;A classic, timeless image of a family tree with deep roots, with photos of different generations in the leaves, symbolising legacy and heritage.
whole-life-insurance-grandparent-gift-legacy-featured;A close-up of a grandparent's hand passing a small, ornate gift box to a grandchild's hands, representing the act of leaving a guaranteed legacy.
whole-life-insurance-money-trust-estate-planning-midcon;A simple graphic showing a large pot of money with the '£' symbol being protected by a 'Trust' icon, which then flows to beneficiaries, illustrating its use in estate planning.
